"","player_name","mp","raptor_offense","raptor_defense","raptor_total","salary","position","guard","forward","center"
"204","Kenyon Martin Jr.",1068,-1.09477404158261,-2.21766382207086,-3.31243786365347,"$898,310.00","F",0,1,0
"205","Kevin Durant",1642,4.64852402662455,0.347516791132626,4.99604081775717,"$40,108,950.00","F",0,1,0
"206","Kevin Huerter",2684,-0.110723418647443,-0.0122685664750887,-0.122991985122531,"$2,761,920.00","G",1,0,0
"207","Kevin Love",622,-0.534857821649808,-2.39143814001902,-2.92629596166883,"$31,258,256.00","F/C",0,1,1
"208","Kevin Porter Jr.",835,-0.460499393882087,-3.73443756880023,-4.19493696268232,"$1,717,981.00","G",1,0,0
"209","Kevon Looney",1161,-0.811845892247918,1.7464903964198,0.934644504171883,"$4,821,429.00","C",0,0,1
"210","Khem Birch",1529,-1.60300778844838,1.87886382451484,0.275856036066462,"$3,011,499.00","C",0,0,1
"211","Khris Middleton",3191,2.21199418492779,-0.0144772435497082,2.19751694137809,"$33,051,724.00","G/F",1,1,0
"212","Killian Hayes",670,-6.56897179557457,-1.61823757208517,-8.18720936765975,"$5,307,120.00","G",1,0,0
"213","Kira Lewis Jr.",904,-0.827465978690157,-0.996961049240587,-1.82442702793074,"$3,640,200.00","G",1,0,0
"214","Kristaps Porzingis",1560,1.32412915802949,-1.50605795240419,-0.181928794374696,"$29,467,800.00","F/C",0,1,1
"215","Kyle Anderson",2029,0.566684871094943,2.46518383326641,3.03186870436135,"$9,505,100.00","F",0,1,0
"216","Kyle Kuzma",2083,-3.18652593451466,0.103152479062609,-3.08337345545205,"$3,562,178.00","F",0,1,0
"217","Kyle Lowry",1601,2.27612380326339,-1.06673549513883,1.20938830812456,"$30,500,000.00","G",1,0,0
"218","Kyrie Irving",2211,5.77453861884151,-2.31106459578802,3.46347402305349,"$33,722,850.00","G",1,0,0
"219","LaMarcus Aldridge",674,-2.41364444884318,-0.847885546700499,-3.26152999554368,"$17,628,340.00","C",0,0,1
"220","LaMelo Ball",1469,1.1506546059116,-0.885744851177305,0.264909754734292,"$7,839,960.00","G",1,0,0
"221","Landry Shamet",1609,-0.657063420999895,-0.40735729043106,-1.06442071143095,"$2,090,040.00","G/F",1,1,0
"222","Larry Nance Jr.",1091,-2.38258944940159,2.90152330970966,0.518933860308067,"$11,709,091.00","F/C",0,1,1
"223","Lauri Markkanen",1317,-0.518261711494532,-0.912788694818885,-1.43105040631342,"$6,731,508.00","F/C",0,1,1
"224","LeBron James",1728,5.87870769875962,0.638155440880721,6.51686313964034,"$39,219,566.00","G/F",1,1,0
"225","Lonnie Walker IV",1522,-1.85989707446355,-3.86824021229769,-5.72813728676124,"$2,895,720.00","G/F",1,1,0
"226","Lonzo Ball",1747,1.41708589669744,0.3991991844377,1.81628508113514,"$11,003,782.00","G",1,0,0
"227","Lou Williams",1700,0.310183995681065,-3.09743596296537,-2.78725196728431,"$8,000,000.00","G",1,0,0
"228","Luguentz Dort",1543,-1.79487122502735,3.86146639873437,2.06659517370703,"$1,517,981.00","G/F",1,1,0
"229","Luka Doncic",2543,6.64165405276573,-0.789069940314123,5.85258411245161,"$8,049,360.00","G/F",1,1,0
"230","Luke Kennard",1451,0.568049390399205,-3.70565520077831,-3.13760581037911,"$5,273,826.00","G",1,0,0
"231","Malachi Flynn",928,-1.4504628503712,0.608891955811304,-0.841570894559899,"$1,950,600.00","G",1,0,0
"232","Malcolm Brogdon",1930,1.52699550980795,-1.30131917676237,0.225676333045585,"$20,700,000.00","G",1,0,0
"233","Malik Beasley",1214,0.709071228517289,-2.41275739510251,-1.70368616658522,"$13,425,895.00","G",1,0,0
"234","Malik Monk",878,0.639344734935107,-1.82720992874707,-1.18786519381196,"$5,345,687.00","G",1,0,0
"235","Marc Gasol",1080,-1.52691771074884,3.31466275863183,1.787745047883,"$2,564,753.00","C",0,0,1
